component_removed,component_order,metric_family,metric,display_label,axis_group,display_order,source_value_unit,figure_display_unit,estimate,ci95_low,ci95_high,delta_definition,worse_direction,paired_context_count,connectivity_count,bootstrap_replicates,bootstrap_seed,bootstrap_unit
without transferable pretraining,0,site ranking,top-1 accuracy,Top-1 exact hit,retrieval,0,fraction,percentage points,-0.00584795321637,-0.0213183463785,0.00970873786408,component-removed model minus joint model,lower is worse,1026,866,10000,2010134097,connectivity
without transferable pretraining,0,site ranking,top-3 accuracy,Top-3 recovery,retrieval,1,fraction,percentage points,0,-0.00995024875622,0.00998078917241,component-removed model minus joint model,lower is worse,1026,866,10000,2010134097,connectivity
without transferable pretraining,0,automatic-site N,MAE,Automatic-site MAE,mae,2,N units,N units,0.293540044416,0.199736208296,0.397612151898,component-removed model minus joint model,higher is worse,1026,866,10000,2010134097,connectivity
without transferable pretraining,0,known-site N,MAE,Known-site MAE,mae,3,N units,N units,0.214057674476,0.147119465065,0.289536508567,component-removed model minus joint model,higher is worse,1026,866,10000,2010134097,connectivity
without transferable pretraining,0,automatic-site N,R2,Automatic-site R2,r2,4,unitless,unitless,-0.034116463764,-0.0550805060171,-0.0157410102631,component-removed model minus joint model,lower is worse,1026,866,10000,2010134097,connectivity
without transferable pretraining,0,known-site N,R2,Known-site R2,r2,5,unitless,unitless,-0.0196111914049,-0.033758051968,-0.00997912413318,component-removed model minus joint model,lower is worse,1026,866,10000,2010134097,connectivity
without local electronic inputs,1,site ranking,top-1 accuracy,Top-1 exact hit,retrieval,0,fraction,percentage points,0.00194931773879,-0.013916500994,0.0182868142445,component-removed model minus joint model,lower is worse,1026,866,10000,120199569,connectivity
without local electronic inputs,1,site ranking,top-3 accuracy,Top-3 recovery,retrieval,1,fraction,percentage points,0.000974658869396,-0.00965274280492,0.0117416829746,component-removed model minus joint model,lower is worse,1026,866,10000,120199569,connectivity
without local electronic inputs,1,automatic-site N,MAE,Automatic-site MAE,mae,2,N units,N units,0.0763447543597,0.000806097632143,0.153359139127,component-removed model minus joint model,higher is worse,1026,866,10000,120199569,connectivity
without local electronic inputs,1,known-site N,MAE,Known-site MAE,mae,3,N units,N units,0.0491959129765,-0.00865759147354,0.111565764163,component-removed model minus joint model,higher is worse,1026,866,10000,120199569,connectivity
without local electronic inputs,1,automatic-site N,R2,Automatic-site R2,r2,4,unitless,unitless,-0.00749614374301,-0.0207554756102,0.00537332240997,component-removed model minus joint model,lower is worse,1026,866,10000,120199569,connectivity
without local electronic inputs,1,known-site N,R2,Known-site R2,r2,5,unitless,unitless,-0.00548999179781,-0.0152334035085,0.00186261039072,component-removed model minus joint model,lower is worse,1026,866,10000,120199569,connectivity
without global electronic inputs,2,site ranking,top-1 accuracy,Top-1 exact hit,retrieval,0,fraction,percentage points,-0.00389863547758,-0.01982160555,0.011673151751,component-removed model minus joint model,lower is worse,1026,866,10000,2100580814,connectivity
without global electronic inputs,2,site ranking,top-3 accuracy,Top-3 recovery,retrieval,1,fraction,percentage points,0.00487329434698,-0.00388736372815,0.0136588700457,component-removed model minus joint model,lower is worse,1026,866,10000,2100580814,connectivity
without global electronic inputs,2,automatic-site N,MAE,Automatic-site MAE,mae,2,N units,N units,0.00902870719814,-0.0658124849939,0.0873744091952,component-removed model minus joint model,higher is worse,1026,866,10000,2100580814,connectivity
without global electronic inputs,2,known-site N,MAE,Known-site MAE,mae,3,N units,N units,-0.028053916568,-0.062908873402,0.0060864809038,component-removed model minus joint model,higher is worse,1026,866,10000,2100580814,connectivity
without global electronic inputs,2,automatic-site N,R2,Automatic-site R2,r2,4,unitless,unitless,-0.00182591035948,-0.0170556303547,0.0120472185849,component-removed model minus joint model,lower is worse,1026,866,10000,2100580814,connectivity
without global electronic inputs,2,known-site N,R2,Known-site R2,r2,5,unitless,unitless,0.00172433181736,-0.00181375369371,0.00580818239347,component-removed model minus joint model,lower is worse,1026,866,10000,2100580814,connectivity
without explicit solvent inputs,3,site ranking,top-1 accuracy,Top-1 exact hit,retrieval,0,fraction,percentage points,-0.00584795321637,-0.0217396679998,0.00970873786408,component-removed model minus joint model,lower is worse,1026,866,10000,2535727269,connectivity
without explicit solvent inputs,3,site ranking,top-3 accuracy,Top-3 recovery,retrieval,1,fraction,percentage points,0.00682261208577,-0.00288468479307,0.0158887785501,component-removed model minus joint model,lower is worse,1026,866,10000,2535727269,connectivity
without explicit solvent inputs,3,automatic-site N,MAE,Automatic-site MAE,mae,2,N units,N units,0.17593465981,0.100982941522,0.250418253609,component-removed model minus joint model,higher is worse,1026,866,10000,2535727269,connectivity
without explicit solvent inputs,3,known-site N,MAE,Known-site MAE,mae,3,N units,N units,0.0923841921241,0.0414832211418,0.143821925172,component-removed model minus joint model,higher is worse,1026,866,10000,2535727269,connectivity
without explicit solvent inputs,3,automatic-site N,R2,Automatic-site R2,r2,4,unitless,unitless,-0.0233654021674,-0.0359389937137,-0.0118290016394,component-removed model minus joint model,lower is worse,1026,866,10000,2535727269,connectivity
without explicit solvent inputs,3,known-site N,R2,Known-site R2,r2,5,unitless,unitless,-0.00925670617567,-0.0156188330276,-0.0032970152982,component-removed model minus joint model,lower is worse,1026,866,10000,2535727269,connectivity
without context-level molecular formal charge,4,site ranking,top-1 accuracy,Top-1 exact hit,retrieval,0,fraction,percentage points,0.00974658869396,-0.00294695481336,0.0230991337825,component-removed model minus joint model,lower is worse,1026,866,10000,326123122,connectivity
without context-level molecular formal charge,4,site ranking,top-3 accuracy,Top-3 recovery,retrieval,1,fraction,percentage points,0.00682261208577,-0.00103470230143,0.0153705763411,component-removed model minus joint model,lower is worse,1026,866,10000,326123122,connectivity
without context-level molecular formal charge,4,automatic-site N,MAE,Automatic-site MAE,mae,2,N units,N units,0.00202071851069,-0.0426081167484,0.0473360459538,component-removed model minus joint model,higher is worse,1026,866,10000,326123122,connectivity
without context-level molecular formal charge,4,known-site N,MAE,Known-site MAE,mae,3,N units,N units,-0.00874536862535,-0.0314810867653,0.0135905773379,component-removed model minus joint model,higher is worse,1026,866,10000,326123122,connectivity
without context-level molecular formal charge,4,automatic-site N,R2,Automatic-site R2,r2,4,unitless,unitless,-0.00168866652964,-0.0101511002226,0.00522265027813,component-removed model minus joint model,lower is worse,1026,866,10000,326123122,connectivity
without context-level molecular formal charge,4,known-site N,R2,Known-site R2,r2,5,unitless,unitless,0.000576840789747,-0.00147213419323,0.00309518837766,component-removed model minus joint model,lower is worse,1026,866,10000,326123122,connectivity
without xTB-derived electronic inputs,5,site ranking,top-1 accuracy,Top-1 exact hit,retrieval,0,fraction,percentage points,0.00389863547758,-0.0134231408365,0.0210129186367,component-removed model minus joint model,lower is worse,1026,866,10000,1446449756,connectivity
without xTB-derived electronic inputs,5,site ranking,top-3 accuracy,Top-3 recovery,retrieval,1,fraction,percentage points,-0.000974658869396,-0.0116845180136,0.00977517106549,component-removed model minus joint model,lower is worse,1026,866,10000,1446449756,connectivity
without xTB-derived electronic inputs,5,automatic-site N,MAE,Automatic-site MAE,mae,2,N units,N units,0.240522764837,0.15087798172,0.333309910891,component-removed model minus joint model,higher is worse,1026,866,10000,1446449756,connectivity
without xTB-derived electronic inputs,5,known-site N,MAE,Known-site MAE,mae,3,N units,N units,0.161938903739,0.102030374521,0.22254810358,component-removed model minus joint model,higher is worse,1026,866,10000,1446449756,connectivity
without xTB-derived electronic inputs,5,automatic-site N,R2,Automatic-site R2,r2,4,unitless,unitless,-0.0292559285426,-0.0489648526133,-0.0116958064264,component-removed model minus joint model,lower is worse,1026,866,10000,1446449756,connectivity
without xTB-derived electronic inputs,5,known-site N,R2,Known-site R2,r2,5,unitless,unitless,-0.0137883016193,-0.0200457548597,-0.00755906660167,component-removed model minus joint model,lower is worse,1026,866,10000,1446449756,connectivity
