model_key,display_label,model_order,metric_family,metric,metric_label,metric_order,source_value_unit,figure_display_unit,context_count,connectivity_count,estimate,ci95_low,ci95_high,bootstrap_replicates,bootstrap_seed,bootstrap_unit
joint model,Joint model,0,site ranking,top-1 accuracy,Top-1 exact hit,0,fraction,percent,1026,866,0.930799220273,0.91369047619,0.947013646978,10000,20260815,connectivity
joint model,Joint model,0,site ranking,top-3 accuracy,Top-3 recovery,1,fraction,percent,1026,866,0.980506822612,0.971484712361,0.988439306358,10000,20260815,connectivity
joint model,Joint model,0,automatic-site N,R2,Automatic-site R2,2,unitless,unitless,1026,866,0.937429558769,0.922888682506,0.94942667264,10000,20260815,connectivity
joint model,Joint model,0,automatic-site N,MAE,Automatic-site MAE,3,N units,N units,1026,866,1.21999993166,1.12897851033,1.31474495292,10000,20260815,connectivity
joint model,Joint model,0,known-site N,R2,Known-site R2,4,unitless,unitless,1026,866,0.950221420758,0.941131772406,0.958020189815,10000,20260815,connectivity
joint model,Joint model,0,known-site N,MAE,Known-site MAE,5,N units,N units,1026,866,1.15061174781,1.07458206747,1.22960672455,10000,20260815,connectivity
without transferable pretraining,No transferable pretraining,1,site ranking,top-1 accuracy,Top-1 exact hit,0,fraction,percent,1026,866,0.924951267057,0.906812570185,0.942141192543,10000,2010134096,connectivity
without transferable pretraining,No transferable pretraining,1,site ranking,top-3 accuracy,Top-3 recovery,1,fraction,percent,1026,866,0.980506822612,0.970999661509,0.988506022109,10000,2010134096,connectivity
without transferable pretraining,No transferable pretraining,1,automatic-site N,R2,Automatic-site R2,2,unitless,unitless,1026,866,0.903313095005,0.879647665997,0.923576653859,10000,2010134096,connectivity
without transferable pretraining,No transferable pretraining,1,automatic-site N,MAE,Automatic-site MAE,3,N units,N units,1026,866,1.51353997608,1.39296617192,1.64402207818,10000,2010134096,connectivity
without transferable pretraining,No transferable pretraining,1,known-site N,R2,Known-site R2,4,unitless,unitless,1026,866,0.930610229354,0.913594428421,0.943220756877,10000,2010134096,connectivity
without transferable pretraining,No transferable pretraining,1,known-site N,MAE,Known-site MAE,5,N units,N units,1026,866,1.36466942228,1.26941604375,1.46969390516,10000,2010134096,connectivity
without local electronic inputs,No local electronic inputs,2,site ranking,top-1 accuracy,Top-1 exact hit,0,fraction,percent,1026,866,0.932748538012,0.9160137851,0.948792936209,10000,120199568,connectivity
without local electronic inputs,No local electronic inputs,2,site ranking,top-3 accuracy,Top-3 recovery,1,fraction,percent,1026,866,0.981481481481,0.972789115646,0.989299610895,10000,120199568,connectivity
without local electronic inputs,No local electronic inputs,2,automatic-site N,R2,Automatic-site R2,2,unitless,unitless,1026,866,0.929933415026,0.913987991269,0.942905476583,10000,120199568,connectivity
without local electronic inputs,No local electronic inputs,2,automatic-site N,MAE,Automatic-site MAE,3,N units,N units,1026,866,1.29634468602,1.19745012557,1.40107254827,10000,120199568,connectivity
without local electronic inputs,No local electronic inputs,2,known-site N,R2,Known-site R2,4,unitless,unitless,1026,866,0.944731428961,0.931922059238,0.954785390627,10000,120199568,connectivity
without local electronic inputs,No local electronic inputs,2,known-site N,MAE,Known-site MAE,5,N units,N units,1026,866,1.19980766078,1.11414506239,1.29251187623,10000,120199568,connectivity
