figure,panel,group_family,parent_class_level_1,group_label,display_label,group_order,ordering_rule,context_count,connectivity_count,prediction_mode,prediction_mode_order,metric,metric_order,estimate,ci95_low,ci95_high,source_value_unit,figure_display_unit,within_2_definition,descriptive_only,interval_status,bootstrap_replicates,bootstrap_seed,bootstrap_unit,minimum_interval_contexts,minimum_interval_connectivities
figure4,a,solvent,not applicable,dichloromethane,DCM,0,fixed solvent order after excluding the three smallest strata,368,365,automatic-site,0,within ±2 ratio,0,0.858695652174,0.821621621622,0.893442622951,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3910636703,connectivity,20,15
figure4,a,solvent,not applicable,dichloromethane,DCM,0,fixed solvent order after excluding the three smallest strata,368,365,automatic-site,0,MAE,1,1.17942097237,1.03876941042,1.33930404837,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3910636703,connectivity,20,15
figure4,a,solvent,not applicable,dichloromethane,DCM,0,fixed solvent order after excluding the three smallest strata,368,365,known-site,1,within ±2 ratio,0,0.875,0.839673913043,0.907356948229,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3910636703,connectivity,20,15
figure4,a,solvent,not applicable,dichloromethane,DCM,0,fixed solvent order after excluding the three smallest strata,368,365,known-site,1,MAE,1,1.06043335972,0.954371187995,1.17747882371,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3910636703,connectivity,20,15
figure4,a,solvent,not applicable,MeCN,MeCN,1,fixed solvent order after excluding the three smallest strata,292,291,automatic-site,0,within ±2 ratio,0,0.787671232877,0.739726027397,0.835051546392,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3280642820,connectivity,20,15
figure4,a,solvent,not applicable,MeCN,MeCN,1,fixed solvent order after excluding the three smallest strata,292,291,automatic-site,0,MAE,1,1.37278801417,1.21801854062,1.5367016865,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3280642820,connectivity,20,15
figure4,a,solvent,not applicable,MeCN,MeCN,1,fixed solvent order after excluding the three smallest strata,292,291,known-site,1,within ±2 ratio,0,0.808219178082,0.762886597938,0.852739726027,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3280642820,connectivity,20,15
figure4,a,solvent,not applicable,MeCN,MeCN,1,fixed solvent order after excluding the three smallest strata,292,291,known-site,1,MAE,1,1.32362954717,1.18355224618,1.46803870647,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3280642820,connectivity,20,15
figure4,a,solvent,not applicable,DMSO,DMSO,2,fixed solvent order after excluding the three smallest strata,203,203,automatic-site,0,within ±2 ratio,0,0.832512315271,0.783128078818,0.881773399015,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3141378084,connectivity,20,15
figure4,a,solvent,not applicable,DMSO,DMSO,2,fixed solvent order after excluding the three smallest strata,203,203,automatic-site,0,MAE,1,1.11327143903,0.973230304304,1.25437742297,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3141378084,connectivity,20,15
figure4,a,solvent,not applicable,DMSO,DMSO,2,fixed solvent order after excluding the three smallest strata,203,203,known-site,1,within ±2 ratio,0,0.837438423645,0.788177339901,0.886699507389,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3141378084,connectivity,20,15
figure4,a,solvent,not applicable,DMSO,DMSO,2,fixed solvent order after excluding the three smallest strata,203,203,known-site,1,MAE,1,1.08260891732,0.95242406208,1.21769415438,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3141378084,connectivity,20,15
figure4,a,solvent,not applicable,water,H$_2$O,3,fixed solvent order after excluding the three smallest strata,114,113,automatic-site,0,within ±2 ratio,0,0.850877192982,0.782608695652,0.911504424779,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3073790682,connectivity,20,15
figure4,a,solvent,not applicable,water,H$_2$O,3,fixed solvent order after excluding the three smallest strata,114,113,automatic-site,0,MAE,1,1.05667593795,0.816287185609,1.33834324327,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3073790682,connectivity,20,15
figure4,a,solvent,not applicable,water,H$_2$O,3,fixed solvent order after excluding the three smallest strata,114,113,known-site,1,within ±2 ratio,0,0.842105263158,0.771929824561,0.90350877193,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3073790682,connectivity,20,15
figure4,a,solvent,not applicable,water,H$_2$O,3,fixed solvent order after excluding the three smallest strata,114,113,known-site,1,MAE,1,0.986684509804,0.787209360035,1.20966115759,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3073790682,connectivity,20,15
figure4,a,solvent,not applicable,THF,THF,4,fixed solvent order after excluding the three smallest strata,25,25,automatic-site,0,within ±2 ratio,0,0.72,0.52,0.88,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,1533475641,connectivity,20,15
figure4,a,solvent,not applicable,THF,THF,4,fixed solvent order after excluding the three smallest strata,25,25,automatic-site,0,MAE,1,1.37887742615,0.904771890599,1.91226545211,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,1533475641,connectivity,20,15
figure4,a,solvent,not applicable,THF,THF,4,fixed solvent order after excluding the three smallest strata,25,25,known-site,1,within ±2 ratio,0,0.72,0.52,0.88,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,1533475641,connectivity,20,15
figure4,a,solvent,not applicable,THF,THF,4,fixed solvent order after excluding the three smallest strata,25,25,known-site,1,MAE,1,1.42499550222,0.957511815026,1.95101081627,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,1533475641,connectivity,20,15
figure4,a,solvent,not applicable,DMF,DMF,5,fixed solvent order after excluding the three smallest strata,15,15,automatic-site,0,within ±2 ratio,0,0.6,,,fraction,percent,absolute prediction error <= 2.0 N units,True,descriptive point estimate; interval not computed,0,,not computed,20,15
figure4,a,solvent,not applicable,DMF,DMF,5,fixed solvent order after excluding the three smallest strata,15,15,automatic-site,0,MAE,1,1.47612085893,,,N units,N units,absolute prediction error <= 2.0 N units,True,descriptive point estimate; interval not computed,0,,not computed,20,15
figure4,a,solvent,not applicable,DMF,DMF,5,fixed solvent order after excluding the three smallest strata,15,15,known-site,1,within ±2 ratio,0,0.6,,,fraction,percent,absolute prediction error <= 2.0 N units,True,descriptive point estimate; interval not computed,0,,not computed,20,15
figure4,a,solvent,not applicable,DMF,DMF,5,fixed solvent order after excluding the three smallest strata,15,15,known-site,1,MAE,1,1.47612085893,,,N units,N units,absolute prediction error <= 2.0 N units,True,descriptive point estimate; interval not computed,0,,not computed,20,15
figure4,b,Mayr level 1,not applicable,C-Nucleophiles,C,0,fixed canonical chemical order; not performance-sorted,469,427,automatic-site,0,within ±2 ratio,0,0.848614072495,0.815286624204,0.879419747443,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,2312010804,connectivity,20,15
figure4,b,Mayr level 1,not applicable,C-Nucleophiles,C,0,fixed canonical chemical order; not performance-sorted,469,427,automatic-site,0,MAE,1,1.14020681551,1.04536752976,1.24206206679,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,2312010804,connectivity,20,15
