subgroup_family,subgroup,context_count,connectivity_count,display_metric,estimate,ci95_low,ci95_high,bootstrap_replicates,bootstrap_seed,bootstrap_unit,placement
nucleophile class,C nucleophiles,469,427,Top-1 exact-site accuracy,0.936034115139,0.912765957447,0.957539404081,5000,2225963210,connectivity,main text
nucleophile class,C nucleophiles,469,427,automatic-site N R2,0.957590432143,0.946501994052,0.966245732044,5000,2225963210,connectivity,main text
nucleophile class,C nucleophiles,469,427,automatic-site N MAE,1.14020681551,1.04452822783,1.24452166682,5000,2225963210,connectivity,main text
nucleophile class,C nucleophiles,469,427,known-site N R2,0.963584779985,0.955311743948,0.970214179245,5000,2225963210,connectivity,main text
nucleophile class,C nucleophiles,469,427,known-site N MAE,1.09401889219,1.00698704333,1.18502035734,5000,2225963210,connectivity,main text
nucleophile class,N nucleophiles,291,222,Top-1 exact-site accuracy,0.931271477663,0.894915254237,0.964412811388,5000,2581450042,connectivity,main text
nucleophile class,N nucleophiles,291,222,automatic-site N R2,0.738539501735,0.634114741832,0.816541834054,5000,2581450042,connectivity,main text
nucleophile class,N nucleophiles,291,222,automatic-site N MAE,1.03580076843,0.887275662836,1.20262155281,5000,2581450042,connectivity,main text
nucleophile class,N nucleophiles,291,222,known-site N R2,0.804697730843,0.746172642403,0.850282258949,5000,2581450042,connectivity,main text
nucleophile class,N nucleophiles,291,222,known-site N MAE,0.955892690787,0.841460255514,1.076490695,5000,2581450042,connectivity,main text
nucleophile class,H nucleophiles,137,130,Top-1 exact-site accuracy,0.890510948905,0.833333333333,0.942028985507,5000,1937825839,connectivity,main text
nucleophile class,H nucleophiles,137,130,automatic-site N R2,0.868601487829,0.79511877041,0.916380550319,5000,1937825839,connectivity,main text
nucleophile class,H nucleophiles,137,130,automatic-site N MAE,1.50138536699,1.20938861511,1.78740378527,5000,1937825839,connectivity,main text
nucleophile class,H nucleophiles,137,130,known-site N R2,0.906521772101,0.869335564408,0.932646311553,5000,1937825839,connectivity,main text
nucleophile class,H nucleophiles,137,130,known-site N MAE,1.35061116481,1.12476541253,1.58547418241,5000,1937825839,connectivity,main text
nucleophile class,O nucleophiles,77,47,Top-1 exact-site accuracy,0.961038961039,0.909090909091,1.0,5000,1149552917,connectivity,main text
nucleophile class,O nucleophiles,77,47,automatic-site N R2,0.768676212972,0.541356496308,0.884444250366,5000,1149552917,connectivity,main text
nucleophile class,O nucleophiles,77,47,automatic-site N MAE,1.47783343195,1.05519927255,1.98301224101,5000,1149552917,connectivity,main text
nucleophile class,O nucleophiles,77,47,known-site N R2,0.799574955141,0.577320849809,0.902887611187,5000,1149552917,connectivity,main text
nucleophile class,O nucleophiles,77,47,known-site N MAE,1.41407581453,1.02394118903,1.88288001327,5000,1149552917,connectivity,main text
nucleophile class,S/Se nucleophiles,27,25,Top-1 exact-site accuracy,0.962962962963,0.884615384615,1.0,5000,1132194474,connectivity,main text
nucleophile class,S/Se nucleophiles,27,25,automatic-site N R2,0.915420526302,0.783168750904,0.956743938726,5000,1132194474,connectivity,main text
nucleophile class,S/Se nucleophiles,27,25,automatic-site N MAE,1.06217605873,0.815424454546,1.35477988169,5000,1132194474,connectivity,main text
nucleophile class,S/Se nucleophiles,27,25,known-site N R2,0.907416369537,0.763571263083,0.954816457058,5000,1132194474,connectivity,main text
