record_type,k,label,count,estimate,ci95_low,ci95_high,bootstrap_replicates,bootstrap_seed,bootstrap_unit,value
top-k recovery,1.0,Top-1,955.0,0.9307992202729045,0.9138091408469707,0.9470588235294117,10000.0,2026081505.0,connectivity,
top-k recovery,2.0,Top-2,996.0,0.9707602339181286,0.9594858406317703,0.9807507218479307,10000.0,2026081505.0,connectivity,
top-k recovery,3.0,Top-3,1006.0,0.9805068226120858,0.9715127701375246,0.9884060768843378,10000.0,2026081505.0,connectivity,
top-k recovery,4.0,Top-4,1012.0,0.98635477582846,0.9786821705426356,0.9931506849315068,10000.0,2026081505.0,connectivity,
top-k recovery,5.0,Top-5,1013.0,0.9873294346978557,0.9799043062200957,0.9933460076045627,10000.0,2026081505.0,connectivity,
top-k recovery,6.0,Top-6,1015.0,0.9892787524366472,0.9824046920821115,0.9951171875,10000.0,2026081505.0,connectivity,
top-k recovery,7.0,Top-7,1016.0,0.9902534113060428,0.9836065573770492,0.996039603960396,10000.0,2026081505.0,connectivity,
top-k recovery,8.0,Top-8,1017.0,0.9912280701754386,0.9851038999370214,0.9961649089165868,10000.0,2026081505.0,connectivity,
top-k recovery,9.0,Top-9,1021.0,0.9951267056530214,0.990234375,0.9990224828934506,10000.0,2026081505.0,connectivity,
top-k recovery,10.0,Top-10,1021.0,0.9951267056530214,0.990234375,0.9990224828934506,10000.0,2026081505.0,connectivity,
rank category,,rank 1,955.0,0.9307992202729045,,,,,not applicable,
rank category,,ranks 2--3,51.0,0.049707602339181284,,,,,not applicable,
rank category,,rank 4 or lower,20.0,0.01949317738791423,,,,,not applicable,
candidate-set statistic,,minimum,,,,,,,not applicable,1.0
candidate-set statistic,,25th percentile,,,,,,,not applicable,73.0
candidate-set statistic,,median,,,,,,,not applicable,100.0
candidate-set statistic,,75th percentile,,,,,,,not applicable,156.0
candidate-set statistic,,maximum,,,,,,,not applicable,461.0
