model,output,pathway_left,pathway_right,pair_label,context_count,connectivity_count,mean,median,q05,q25,q75,q95,mean_absolute,median_absolute,summary_unit,interval_semantics
joint model,site-ranking logit contrast,local electronic inputs,global electronic inputs,local × global,1019,863,-0.00641160851146,-0.000467624929216,-0.106843818193,-0.0333468881159,0.0261354701365,0.0906168055642,0.0445054833256,0.0289100492179,OOF context,empirical context distribution; not a confidence interval
joint model,site-ranking logit contrast,local electronic inputs,explicit solvent context,local × solvent,1019,863,0.00361356119583,9.31639224291e-05,-0.110845674065,-0.0368583313791,0.0379408172598,0.136989693946,0.053942060438,0.0371716210456,OOF context,empirical context distribution; not a confidence interval
joint model,site-ranking logit contrast,local electronic inputs,molecular formal charge,local × charge,1019,863,-0.00597148572812,-0.00104816754659,-0.10175656577,-0.0389385889025,0.0261640272266,0.090243007116,0.0434620907831,0.0325946959336,OOF context,empirical context distribution; not a confidence interval
joint model,site-ranking logit contrast,global electronic inputs,explicit solvent context,global × solvent,1019,863,-0.0146987421022,-0.00650654509525,-0.126672743369,-0.0412251927318,0.0140206908125,0.0736979727614,0.0435008840854,0.0287477412951,OOF context,empirical context distribution; not a confidence interval
joint model,site-ranking logit contrast,global electronic inputs,molecular formal charge,global × charge,1019,863,-0.00774586779114,-0.0012223103808,-0.0947007633529,-0.0319284009963,0.0163124125892,0.067425288517,0.0351838764351,0.0242209829693,OOF context,empirical context distribution; not a confidence interval
joint model,site-ranking logit contrast,explicit solvent context,molecular formal charge,solvent × charge,1019,863,-0.00292095365299,2.70323620903e-05,-0.0859117216953,-0.0211526408512,0.0198148208511,0.0606794261799,0.0300998233958,0.0201735684246,OOF context,empirical context distribution; not a confidence interval
joint model,conditional N,local electronic inputs,global electronic inputs,local × global,1026,866,-0.206986180007,-0.153356472651,-1.90941969554,-0.627883818414,0.332582778401,1.20973977115,0.685931644942,0.482518686189,OOF context,empirical context distribution; not a confidence interval
joint model,conditional N,local electronic inputs,explicit solvent context,local × solvent,1026,866,-0.264227930359,0.0950221220652,-3.59333846304,-0.781398031447,0.681669129266,1.74393559164,1.11979812145,0.729924215211,OOF context,empirical context distribution; not a confidence interval
joint model,conditional N,local electronic inputs,molecular formal charge,local × charge,1026,866,-0.166486226895,-0.0544005235036,-2.24013264312,-0.691758983665,0.468608041604,1.39616828495,0.792861557404,0.576166484091,OOF context,empirical context distribution; not a confidence interval
joint model,conditional N,global electronic inputs,explicit solvent context,global × solvent,1026,866,0.094807511856,0.375851472219,-1.82406254609,-0.581183665329,0.784541759226,1.36781991853,0.834506279492,0.731990906927,OOF context,empirical context distribution; not a confidence interval
joint model,conditional N,global electronic inputs,molecular formal charge,global × charge,1026,866,0.0172537015789,0.278777413898,-1.66877749231,-0.547063165241,0.676329480277,1.08318220245,0.724484308344,0.637322796716,OOF context,empirical context distribution; not a confidence interval
joint model,conditional N,explicit solvent context,molecular formal charge,solvent × charge,1026,866,-0.133214806281,-0.152524974611,-1.10679982106,-0.542848918173,0.212799641821,0.979034993384,0.507474376961,0.386796620157,OOF context,empirical context distribution; not a confidence interval
