model,outer_fold,context_id,connectivity_id,output,pathway,shapley_value,pathway_value,pathway_value_semantics,baseline_output,full_output,completeness_residual,pathway_value_percentile,pathway_value_color_semantics
joint model,1,context:000edfe6c31e366ec614031b,RAOIDOHSFRTOEL,site-ranking logit contrast,local electronic inputs,-0.0803382281449,1.0419062376,RMS standardized values and masks,2.76318074418,2.39302370941,0,0.736997055937,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:001aff9d192ba5bb00ea7813,NDOMXVXCNMTXDL,site-ranking logit contrast,local electronic inputs,0.0329829559346,1.1629396677,RMS standardized values and masks,1.68192846371,1.94019828855,0,0.854759568204,"within-pathway empirical percentile; color only, not a model output"
joint model,3,context:00c1006666a6ee0580579003,KMVZWUQHMJAWSY,site-ranking logit contrast,local electronic inputs,-0.122312690644,0.797411322594,RMS standardized values and masks,2.33553025281,2.29491404584,0,0.149165848871,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:01312c5e36069481a232d7fa,KIPSRYDSZQRPEA,site-ranking logit contrast,local electronic inputs,0.249082605574,1.31115007401,RMS standardized values and masks,7.04029396453,6.765972955,0,0.9116781158,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:013d10528d577ad23343fe24,DVUMGIDOTXJYIW,site-ranking logit contrast,local electronic inputs,0.476470501537,0.934965848923,RMS standardized values and masks,6.16782109492,6.65098302727,0,0.568204121688,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:017f7ba29a7550dbfbd917e1,WEVYAHXRMPXWCK,site-ranking logit contrast,local electronic inputs,0.00436926550335,1.39319527149,RMS standardized values and masks,-0.0376211007436,-0.0514266490936,0,0.922473012758,"within-pathway empirical percentile; color only, not a model output"
joint model,3,context:020277730fcd8aca28ecbb4a,FTOQQKWSIFEMPP,site-ranking logit contrast,local electronic inputs,0.0864651646841,0.933983445168,RMS standardized values and masks,2.42472248231,2.31871180463,0,0.567222767419,"within-pathway empirical percentile; color only, not a model output"
joint model,2,context:026b96b3063775741a0ae01a,NBTOZLQBSIZIKS,site-ranking logit contrast,local electronic inputs,0.538351491976,2.62970757484,RMS standardized values and masks,3.96705662083,4.45387532966,0,0.981354268891,"within-pathway empirical percentile; color only, not a model output"
joint model,2,context:028a91f64fb736abbafc87f3,CZLRSLOXHJWOFV,site-ranking logit contrast,local electronic inputs,0.0790213295822,0.822968542576,RMS standardized values and masks,4.76368016827,4.68498101173,0,0.256133464181,"within-pathway empirical percentile; color only, not a model output"
joint model,2,context:030e83aab7f135e0133aa41f,HZAXFHJVJLSVMW,site-ranking logit contrast,local electronic inputs,0.151256142182,1.15785849094,RMS standardized values and masks,2.98151327047,2.97986539564,0,0.848871442591,"within-pathway empirical percentile; color only, not a model output"
joint model,3,context:032678b7f79f9876930bdf0b,YDJXDYKQMRNUSA,site-ranking logit contrast,local electronic inputs,0.0745494696829,0.787722527981,RMS standardized values and masks,-1.25056626399,-1.17678970098,0,0.105004906771,"within-pathway empirical percentile; color only, not a model output"
joint model,4,context:03b146b027b29d95f2c62601,AUKXFNABVHIUAC,site-ranking logit contrast,local electronic inputs,0.00293796592289,0.974036991596,RMS standardized values and masks,1.81446059545,1.81433709462,0,0.632973503435,"within-pathway empirical percentile; color only, not a model output"
joint model,3,context:03d8605b10e73d9af9472f37,IWDCLRJOBJJRNH,site-ranking logit contrast,local electronic inputs,0.0870344301753,1.04053127766,RMS standardized values and masks,3.45342862175,3.26387071239,0,0.735034347399,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:03f78f46086cefb733d5d11b,DNJLFZHMJDSJFN,site-ranking logit contrast,local electronic inputs,-0.0288747833538,4.48378610611,RMS standardized values and masks,2.26752742435,2.22448950047,0,0.994111874387,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:04095404de33edb25a6698ab,YYKAFPWEQRAEAQ,site-ranking logit contrast,local electronic inputs,-0.287355292408,1.1836271286,RMS standardized values and masks,9.8310929935,10.3159823468,0,0.872423945044,"within-pathway empirical percentile; color only, not a model output"
joint model,4,context:044c3fdae3c6e4b58c939351,WDUAYVHCYGZARQ,site-ranking logit contrast,local electronic inputs,-0.0114232223286,0.893794894218,RMS standardized values and masks,3.98082681714,4.00603321202,0,0.484789008832,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:046650b42d9338282244a2d8,WNGRAVYBVJNTMT,site-ranking logit contrast,local electronic inputs,0.0011203289032,0.186875700951,RMS standardized values and masks,-2.16317061583,-2.16198857625,0,0.00245338567223,"within-pathway empirical percentile; color only, not a model output"
joint model,3,context:04b64edad0cefffb0d196d79,UOJYYXATTMQQNA,site-ranking logit contrast,local electronic inputs,0.393607817837,2.00739622116,RMS standardized values and masks,3.89572209113,4.37486752233,0,0.972522080471,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:05a1836bf03e7d9800b7833c,AZIXWBRHGNBNNF,site-ranking logit contrast,local electronic inputs,-0.00264819578707,1.01479399204,RMS standardized values and masks,7.6670990014,8.14029200949,0,0.699705593719,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:05cd838cbc65c359c7a472e8,DCXYFEDJOCDNAF,site-ranking logit contrast,local electronic inputs,-0.147627044277,1.2079693079,RMS standardized values and masks,6.97525850049,7.03097624219,0,0.880274779195,"within-pathway empirical percentile; color only, not a model output"
joint model,3,context:05eb12c16f72868bf1b5be56,SKHPYKHVYFTIOI,site-ranking logit contrast,local electronic inputs,-0.115278571647,0.840268671513,RMS standardized values and masks,2.15377108256,1.91419793289,0,0.331697742885,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:06ddadbb9af8eaa94c5e2b88,LSNNMFCWUKXFEE,site-ranking logit contrast,local electronic inputs,-0.0539357397291,2.99939346313,RMS standardized values and masks,-5.58064671357,-5.62873546282,0,0.986261040236,"within-pathway empirical percentile; color only, not a model output"
