case_id,outer_fold,context_id,candidate_site_id,site_type,member_atom_indices_json,member_bond_pairs_json,candidate_rank,canonical_logit,canonical_logit_seed_std,conditional_n_prediction,conditional_n_seed_std,ensemble_member_count,is_reference_site,is_top_prediction
case-1,1,context:c55aa7cf9f244ace1d08bf32,site:58e18e4a3e107e087c60f6ad,atom,[3],[],1,5.18897695843,0.0759891650433,12.7535498937,0.190175007021,3,True,True
case-1,1,context:c55aa7cf9f244ace1d08bf32,site:6afc0c6ae31b8901bb6c8aff,atom_group,"[0,2]",[],2,-1.50589518573,0.0720085412613,13.1585489909,0.223107181831,3,False,False
case-1,1,context:c55aa7cf9f244ace1d08bf32,site:bbdada08766198d83f39b798,delocalized_region,"[4,5,6,7,11,12]","[[4,5],[4,12],[5,6],[6,7],[7,11],[11,12]]",3,-2.53455287541,0.0790019047307,8.41842269897,0.305889667542,3,False,False
case-1,1,context:c55aa7cf9f244ace1d08bf32,site:c2413180d556a31a80a9e2f9,atom_group,"[0,2,9,10]",[],4,-2.7003975394,0.0756729702163,12.8756682078,0.35367992666,3,False,False
case-1,1,context:c55aa7cf9f244ace1d08bf32,site:bc5d8564ae99e4505dc41f09,atom_group,"[3,5,12]",[],5,-3.1882111711,0.084558147916,10.7312558492,0.335268745907,3,False,False
case-2,3,context:d4780e321293e26a4a497619,site:47c3a2796e099bf315815884,delocalized_region,"[3,5,6]","[[3,5],[5,6]]",1,0.828871641905,0.0728973641738,9.45534420013,0.286449162862,3,False,True
case-2,3,context:d4780e321293e26a4a497619,site:cf0bfbbbabe73ca0b2bcbb19,bond,"[5,6]","[[5,6]]",2,0.815445439606,0.0262685377546,8.41371949514,0.285126419303,3,True,False
case-2,3,context:d4780e321293e26a4a497619,site:df27c8035389de354591baec,atom,[5],[],3,0.314532989923,0.0186911456421,9.29659144084,0.320793008367,3,False,False
case-2,3,context:d4780e321293e26a4a497619,site:3703aca59bc65011ad5590ab,atom_group,"[5,6]","[[5,6]]",4,-0.478952973663,0.064434911924,9.32107480367,0.353238416283,3,False,False
case-2,3,context:d4780e321293e26a4a497619,site:9409df2d371db611804fc961,bond,"[3,5]","[[3,5]]",5,-1.27668681086,0.0229403001031,10.5487082799,0.525403145811,3,False,False
case-3,2,context:6fe48fbf9373793908993fab,site:c2c78c12ef8df99f8710dde5,atom,[1],[],1,2.33687174775,0.0536671040839,14.0859899521,1.07250407533,3,False,True
case-3,2,context:6fe48fbf9373793908993fab,site:e820888d8bc51b5c9518bded,atom_group,"[3,4,5]",[],2,0.485640506279,0.0565050336314,7.34336058299,1.06350952377,3,False,False
case-3,2,context:6fe48fbf9373793908993fab,site:7290f78fe865cbf615ac1762,atom_group,"[3,4]",[],3,0.466464341016,0.0557694100022,7.36753034592,1.09000154027,3,False,False
case-3,2,context:6fe48fbf9373793908993fab,site:d177da51a7d3f5a1ba98d0ae,atom_group,"[3,5]",[],4,0.466464341016,0.0557694100022,7.36753066381,1.09000132179,3,False,False
case-3,2,context:6fe48fbf9373793908993fab,site:23dbbc14690cfce4a0c9d75c,atom_group,"[4,5]",[],5,0.407134036552,0.05707795138,7.01844072342,1.15822533925,3,False,False
case-3,2,context:6fe48fbf9373793908993fab,site:a52a556ba70ca6bfcba2b2f3,atom,[0],[],19,-2.19156419776,0.0298669204763,5.69092798233,1.10823411782,3,True,False
case-4,3,context:09ce772c3d342961a7abfaec,site:fa324338416bcabf72f76444,atom,[4],[],1,2.13184950506,0.0401345950012,16.7873395284,0.557156526549,3,True,True
case-4,3,context:09ce772c3d342961a7abfaec,site:6fc09f3cf710bb843ae03ee9,atom_group,"[4,8]",[],2,0.794146138951,0.0335091672631,17.1526050568,0.37822519248,3,False,False
case-4,3,context:09ce772c3d342961a7abfaec,site:d15ed7afd408a6f1a0bf6aa0,atom,[8],[],3,0.498692728634,0.0153583786522,17.7613677979,0.274146043828,3,False,False
case-4,3,context:09ce772c3d342961a7abfaec,site:bfbd1dcaf876c337959af651,bond,"[3,4]","[[3,4]]",4,-0.509352134682,0.0254052474682,16.0342283249,0.794165978253,3,False,False
case-4,3,context:09ce772c3d342961a7abfaec,site:b8153f5f6720e0ff5e56abcc,transferable_h_group,"[21,22]",[],5,-1.83656369251,0.0775541390684,6.41684436798,0.531557605688,3,False,False
case-5,0,context:06e6d7dec0af50fa72831e57,site:cbb3cc165bfe92575c5a6509,atom,[2],[],1,2.87574487784,0.0199225968841,15.6168518066,0.385262124659,3,False,True
case-5,0,context:06e6d7dec0af50fa72831e57,site:9c9eb4b32e9f4b01f5169a92,atom,[0],[],2,2.87574392416,0.0199225968841,15.6168575287,0.385263989926,3,False,False
case-5,0,context:06e6d7dec0af50fa72831e57,site:de98cae0e61eb069dd141dea,atom_group,"[0,2]",[],3,2.45613890957,0.0261913024671,15.6734488805,0.794737879538,3,True,False
case-5,0,context:06e6d7dec0af50fa72831e57,site:d517b5939f8f1550af97b0c3,atom_group,"[0,1,2]","[[0,1],[1,2]]",4,1.35113253267,0.0268129014568,15.5816869736,0.667619557591,3,False,False
case-5,0,context:06e6d7dec0af50fa72831e57,site:4866e694ec37ffa3d5f825b5,atom_group,"[1,2]","[[1,2]]",5,1.13379746746,0.0267034851225,15.5409371058,0.625351147144,3,False,False
case-6,0,context:69a88882c4e79c18ebac1184,site:9e943464e88ca79dad9ba498,atom_group,"[0,2]",[],1,3.56800945184,0.0353141943296,14.1532793045,1.23262622382,3,False,True
case-6,0,context:69a88882c4e79c18ebac1184,site:cd4d2587244add4b960a666b,atom,[2],[],2,1.35471975386,0.0362065430081,14.3776343664,1.47406503154,3,False,False
case-6,0,context:69a88882c4e79c18ebac1184,site:3a1741e15e473b241c5ab3ef,delocalized_region,"[0,1,2]","[[0,1],[1,2]]",3,0.0879579911108,0.0355344539221,12.692158699,0.372850957001,3,False,False
case-6,0,context:69a88882c4e79c18ebac1184,site:06e1cc5d147c2a4aec48a3e5,atom,[1],[],4,-0.393464291294,0.0281190550716,12.2747999827,2.57624001614,3,True,False
case-6,0,context:69a88882c4e79c18ebac1184,site:2c1a2daf96f690bd09e9491e,atom,[0],[],5,-1.78920034985,0.034233250058,12.0468416214,1.44940495527,3,False,False
