display_order,family,transfer_role,display_name,short_name,fit_id,outer_fold,transfer_setting,model_public_label,is_strict_connectivity_heldout_fold,strict_target_rank,chemistry_best_rank,automatic_top1_site,automatic_top1_N,automatic_top1_abs_error,target_conditioned_N,target_conditioned_abs_error,top1_margin
0,morpholine,control,Morpholine,Morph.,morpholine_meoh,0,seen connectivity; new solvent,joint model,False,1,1,atom[5],15.1054566701,0.275456670125,15.1054566701,0.275456670125,2.7770378159
0,morpholine,control,Morpholine,Morph.,morpholine_meoh,1,seen connectivity; new solvent,joint model,False,1,1,atom[5],14.7528982162,0.0771017837524,14.7528982162,0.0771017837524,5.29734152238
0,morpholine,control,Morpholine,Morph.,morpholine_meoh,2,seen connectivity; new solvent,joint model,False,1,1,atom[5],15.2272230784,0.39722307841,15.2272230784,0.39722307841,3.37132609542
0,morpholine,control,Morpholine,Morph.,morpholine_meoh,3,seen connectivity; new solvent,joint model,True,1,1,atom[5],14.3981561661,0.431843833923,14.3981561661,0.431843833923,2.65907493175
0,morpholine,control,Morpholine,Morph.,morpholine_meoh,4,seen connectivity; new solvent,joint model,False,1,1,atom[5],14.8321968714,0.00219687143962,14.8321968714,0.00219687143962,2.61082575531
1,morpholine,challenge,"1,3,5-tris(morpholin-4-yl)benzene",Tris-morph.,tris_morpholino_benzene_ch2cl2,0,unseen connectivity,joint model,False,18,18,atom[2],14.4755827586,3.87558275859,9.53526242574,1.06473757426,0.228733144832
1,morpholine,challenge,"1,3,5-tris(morpholin-4-yl)benzene",Tris-morph.,tris_morpholino_benzene_ch2cl2,1,unseen connectivity,joint model,False,24,16,"bond[16,17]",9.17464319865,1.42535680135,9.72277355194,0.877226448059,0.00277030467987
1,morpholine,challenge,"1,3,5-tris(morpholin-4-yl)benzene",Tris-morph.,tris_morpholino_benzene_ch2cl2,2,unseen connectivity,joint model,False,1,1,"delocalized_region[0,1,8,9,16,17]",10.2861423492,0.313857650757,10.2861423492,0.313857650757,0.191022410602
1,morpholine,challenge,"1,3,5-tris(morpholin-4-yl)benzene",Tris-morph.,tris_morpholino_benzene_ch2cl2,3,unseen connectivity,joint model,False,3,3,"bond[16,17]",9.26532649994,1.33467350006,10.2043730418,0.395626958211,0.0126377145449
1,morpholine,challenge,"1,3,5-tris(morpholin-4-yl)benzene",Tris-morph.,tris_morpholino_benzene_ch2cl2,4,unseen connectivity,joint model,False,11,11,"bond[16,17]",9.2977180481,1.3022819519,9.7796758016,0.820324198405,0.00200723608335
2,pyrrolidine,control,Pyrrolidine,Pyrrol.,pyrrolidine_dmso,0,seen connectivity; new solvent,joint model,False,1,1,atom[3],17.9981028239,0.181897176107,17.9981028239,0.181897176107,3.2712100039
2,pyrrolidine,control,Pyrrolidine,Pyrrol.,pyrrolidine_dmso,1,seen connectivity; new solvent,joint model,False,1,1,atom[3],17.6533590953,0.526640904744,17.6533590953,0.526640904744,6.63819519678
2,pyrrolidine,control,Pyrrolidine,Pyrrol.,pyrrolidine_dmso,2,seen connectivity; new solvent,joint model,False,1,1,atom[3],17.6936454773,0.486354522705,17.6936454773,0.486354522705,3.48478040564
2,pyrrolidine,control,Pyrrolidine,Pyrrol.,pyrrolidine_dmso,3,seen connectivity; new solvent,joint model,False,1,1,atom[3],17.5571772257,0.622822774251,17.5571772257,0.622822774251,2.70370308493
2,pyrrolidine,control,Pyrrolidine,Pyrrol.,pyrrolidine_dmso,4,seen connectivity; new solvent,joint model,True,1,1,atom[3],19.6633847555,1.48338475545,19.6633847555,1.48338475545,2.84169918772
3,pyrrolidine,challenge,"1,3,5-tris(pyrrolidin-1-yl)benzene",Tris-pyrrol.,tris_pyrrolidino_benzene_ch2cl2,0,unseen connectivity,joint model,False,18,18,atom[16],16.5349470774,1.73494707743,11.7936703364,3.00632966359,0
3,pyrrolidine,challenge,"1,3,5-tris(pyrrolidin-1-yl)benzene",Tris-pyrrol.,tris_pyrrolidino_benzene_ch2cl2,1,unseen connectivity,joint model,False,21,21,atom[16],16.6441523234,1.8441523234,12.8579540253,1.94204597473,1.43051147461e-06
3,pyrrolidine,challenge,"1,3,5-tris(pyrrolidin-1-yl)benzene",Tris-pyrrol.,tris_pyrrolidino_benzene_ch2cl2,2,unseen connectivity,joint model,False,2,2,"atom_group[2,9,16]",17.2590408325,2.45904083252,12.5629218419,2.23707815806,0.10678102555
3,pyrrolidine,challenge,"1,3,5-tris(pyrrolidin-1-yl)benzene",Tris-pyrrol.,tris_pyrrolidino_benzene_ch2cl2,3,unseen connectivity,joint model,False,1,1,"delocalized_region[0,1,7,8,14,15]",12.3512659073,2.44873409271,12.3512659073,2.44873409271,0.061266178191
3,pyrrolidine,challenge,"1,3,5-tris(pyrrolidin-1-yl)benzene",Tris-pyrrol.,tris_pyrrolidino_benzene_ch2cl2,4,unseen connectivity,joint model,False,2,2,"transferable_h_group[22,23,28,29,31,32,37,38,40,41,46,47]",6.51538467407,8.28461532593,11.949669838,2.85033016205,0.714421423678
4,piperidine,control,Piperidine,Piper.,piperidine_meoh,0,seen connectivity; new solvent,joint model,False,1,1,atom[3],17.0226949056,1.5426949056,17.0226949056,1.5426949056,3.77777833273
4,piperidine,control,Piperidine,Piper.,piperidine_meoh,1,seen connectivity; new solvent,joint model,False,1,1,atom[3],16.3996651967,0.919665196737,16.3996651967,0.919665196737,7.56287713311
4,piperidine,control,Piperidine,Piper.,piperidine_meoh,2,seen connectivity; new solvent,joint model,False,1,1,atom[3],16.9174378713,1.4374378713,16.9174378713,1.4374378713,3.59100573278
4,piperidine,control,Piperidine,Piper.,piperidine_meoh,3,seen connectivity; new solvent,joint model,False,1,1,atom[3],16.1076965332,0.627696533203,16.1076965332,0.627696533203,3.64912469184
4,piperidine,control,Piperidine,Piper.,piperidine_meoh,4,seen connectivity; new solvent,joint model,True,1,1,atom[3],17.0359420776,1.55594207764,17.0359420776,1.55594207764,3.33637700754
5,piperidine,challenge,"1,3,5-tris(piperidin-1-yl)benzene",Tris-piper.,tris_piperidino_benzene_ch2cl2,0,unseen connectivity,joint model,False,18,18,atom[2],16.2767225901,3.47672259013,10.1894725164,2.61052748362,0.26602472518
5,piperidine,challenge,"1,3,5-tris(piperidin-1-yl)benzene",Tris-piper.,tris_piperidino_benzene_ch2cl2,1,unseen connectivity,joint model,False,21,21,atom[2],16.290374438,3.49037443797,11.0387398402,1.76126015981,0.375235915184
5,piperidine,challenge,"1,3,5-tris(piperidin-1-yl)benzene",Tris-piper.,tris_piperidino_benzene_ch2cl2,2,unseen connectivity,joint model,False,1,1,"delocalized_region[0,1,8,9,16,17]",10.9016850789,1.89831492106,10.9016850789,1.89831492106,0.000352802374495
5,piperidine,challenge,"1,3,5-tris(piperidin-1-yl)benzene",Tris-piper.,tris_piperidino_benzene_ch2cl2,3,unseen connectivity,joint model,False,4,4,"bond[9,16]",9.80339113871,2.99660886129,10.7751979828,2.02480201721,2.52947211266e-05
5,piperidine,challenge,"1,3,5-tris(piperidin-1-yl)benzene",Tris-piper.,tris_piperidino_benzene_ch2cl2,4,unseen connectivity,joint model,False,7,7,atom[2],16.4008808136,3.6008808136,10.4881820679,2.31181793213,0.0661376583367
