model,outer_fold,context_id,output,feature,feature_family,shapley_value,baseline_output,full_output,completeness_residual,feature_value,feature_value_semantics,feature_value_percentile
joint model,0,context:046650b42d9338282244a2d8,site-ranking logit contrast,local::alpb_fukui_minus_density,local electronic,0.0002103572090468,-2.16210675239563,-2.161988576253255,0.0,-0.2395991533994674,mean standardized node value,0.1675
joint model,0,context:046650b42d9338282244a2d8,site-ranking logit contrast,local::alpb_cm5,local electronic,0.0004491408665975,-2.16210675239563,-2.161988576253255,0.0,0.3919821679592132,mean standardized node value,0.9975
joint model,0,context:046650b42d9338282244a2d8,site-ranking logit contrast,local::alpb_condensed_softness,local electronic,0.000232550005118,-2.16210675239563,-2.161988576253255,0.0,-0.1554427295923233,mean standardized node value,0.1775
joint model,0,context:046650b42d9338282244a2d8,site-ranking logit contrast,local::alpb_condensed_nucleophilicity_index_ev,local electronic,-2.413243055349179e-05,-2.16210675239563,-2.161988576253255,0.0,-0.2101426422595977,mean standardized node value,0.1775
joint model,0,context:046650b42d9338282244a2d8,site-ranking logit contrast,global::alpb_homo_n_hartree,global electronic,1.7188489437131027e-05,-2.16210675239563,-2.161988576253255,0.0,-0.1377216130495071,standardized molecular value,0.4275
joint model,0,context:046650b42d9338282244a2d8,site-ranking logit contrast,global::alpb_softness_hartree_inverse,global electronic,-1.080334186553955e-06,-2.16210675239563,-2.161988576253255,0.0,-0.0717196390032768,standardized molecular value,0.4975
joint model,0,context:046650b42d9338282244a2d8,site-ranking logit contrast,global::alpb_vip_hartree,global electronic,-1.9758939742958725e-05,-2.16210675239563,-2.161988576253255,0.0,0.0737838372588157,standardized molecular value,0.5475
joint model,0,context:046650b42d9338282244a2d8,site-ranking logit contrast,global::alpb_nucleophilicity_index_hartree,global electronic,1.6115605831229507e-05,-2.16210675239563,-2.161988576253255,0.0,-0.1377216130495071,standardized molecular value,0.4275
joint model,0,context:046650b42d9338282244a2d8,site-ranking logit contrast,global::alpb_homo_n_minus_1_hartree,global electronic,-4.644195238684423e-06,-2.16210675239563,-2.161988576253255,0.0,0.0595101788640022,standardized molecular value,0.5175
joint model,0,context:046650b42d9338282244a2d8,site-ranking logit contrast,global::delta_e_solv_hartree,global electronic,7.714082797363742e-05,-2.16210675239563,-2.161988576253255,0.0,0.5064002871513367,standardized molecular value,0.5575
joint model,0,context:046650b42d9338282244a2d8,site-ranking logit contrast,solvent::solvent_nD,solvent,-8.684645096460053e-05,-2.16210675239563,-2.161988576253255,0.0,-1.0327627658843994,standardized solvent value,0.3625
joint model,0,context:046650b42d9338282244a2d8,site-ranking logit contrast,solvent::solvent_f(n^2),solvent,8.153915405273438e-05,-2.16210675239563,-2.161988576253255,0.0,-1.0374464988708496,standardized solvent value,0.3625
joint model,0,context:046650b42d9338282244a2d8,site-ranking logit contrast,solvent::solvent_epsilon_r,solvent,-3.1138459841484334e-05,-2.16210675239563,-2.161988576253255,0.0,0.1369819790124893,standardized solvent value,0.4125
joint model,0,context:046650b42d9338282244a2d8,site-ranking logit contrast,solvent::solvent_ET(30),solvent,7.947285951548366e-08,-2.16210675239563,-2.161988576253255,0.0,0.0006728928419761,standardized solvent value,0.6425
