display_order,family,transfer_role,display_name,short_name,fit_id,context_id,model_public_label,candidate_rank,candidate_site_id,site_type,site_type_display,member_atom_indices_json,member_bond_pairs_json,member_atom_labels,member_bond_labels,hydrogen_parent_labels,member_display,candidate_origins_json,canonical_logit,conditional_n_prediction,conditional_n_seed_std,canonical_logit_seed_std,canonical_logit_outer_fold_std,conditional_n_outer_fold_std,mean_outer_fold_rank,best_outer_fold_rank,worst_outer_fold_rank,outer_fold_top1_count,outer_fold_top3_count,is_strict_target
0,morpholine,control,Morpholine,Morph.,morpholine_meoh,context:56f05dc4e9501d8debdaf1f7,joint model,1,site:e0760ea7f9476c067b0ddf1c,atom,atom,[5],[],N5,,,N5,"[""all_atoms""]",3.27828069525,14.8631862005,0.20405498451,0.0242133466645,0.474626090093,0.29003259811,1,1,1,5,5,True
0,morpholine,control,Morpholine,Morph.,morpholine_meoh,context:56f05dc4e9501d8debdaf1f7,joint model,2,site:6c82b8b6c0faa08ceae873e6,atom_group,atom group,"[1,3]",[],"C1, C3",,,"C1, C3","[""rdkit_symmetry"",""ring_same_element_subset"",""same_element_neighbours"",""whole_graph_same_element_subset""]",-0.064840528904,6.8783563296,0.800210133109,0.05018796545,0.901699709422,0.295169518117,2,2,2,0,5,False
0,morpholine,control,Morpholine,Morph.,morpholine_meoh,context:56f05dc4e9501d8debdaf1f7,joint model,3,site:c0cdf03ae68aa611d0e94e31,atom_group,atom group,"[0,4]",[],"C0, C4",,,"C0, C4","[""rdkit_symmetry"",""ring_same_element_subset"",""same_element_neighbours"",""whole_graph_same_element_subset""]",-0.395105256179,6.79950167338,0.854976869426,0.0492530397964,0.889945200601,0.36190670366,4.2,3,6,0,3,False
0,morpholine,control,Morpholine,Morph.,morpholine_meoh,context:56f05dc4e9501d8debdaf1f7,joint model,4,site:244b27d19772661a3fa952e1,atom_group,atom group,"[0,1,3,4]","[[0,1],[3,4]]","C0, C1, C3, C4",C0-C1; C3-C4,,C0-C1; C3-C4,"[""ring_same_element"",""whole_graph_same_element""]",-0.43070668135,6.91286023458,0.805524404872,0.0514412697582,0.979795095627,0.264121415622,3.8,3,4,0,1,False
0,morpholine,control,Morpholine,Morph.,morpholine_meoh,context:56f05dc4e9501d8debdaf1f7,joint model,5,site:92b83d0b0a02de004555ba53,atom_group,atom group,"[3,4]","[[3,4]]","C3, C4",C3-C4,,C3-C4,"[""ring_same_element_subset"",""whole_graph_same_element_subset""]",-0.473712751804,6.89182252884,0.810114727208,0.0515260188617,0.977986007994,0.267787703902,5.2,4,7,0,0,False
1,morpholine,challenge,"1,3,5-tris(morpholin-4-yl)benzene",Tris-morph.,tris_morpholino_benzene_ch2cl2,context:b3bc4137569ac128fe3fe0f8,joint model,1,site:0252730485657459968f4ac9,atom,atom,[2],[],N2,,,N2,"[""all_atoms""]",0.40255079817,14.546015803,0.562794782472,0.0335263307231,0.348230376724,0.18335274941,4.4,1,8,1,3,False
1,morpholine,challenge,"1,3,5-tris(morpholin-4-yl)benzene",Tris-morph.,tris_morpholino_benzene_ch2cl2,context:b3bc4137569ac128fe3fe0f8,joint model,2,site:702f5af77fc76c44cade1464,bond,bond,"[16,17]","[[16,17]]","C16, C17",C16-C17,,C16-C17,"[""all_bonds""]",0.353191813443,9.45517648061,0.452340272857,0.0262468658538,0.272569703528,0.343651910851,4,1,13,3,3,False
1,morpholine,challenge,"1,3,5-tris(morpholin-4-yl)benzene",Tris-morph.,tris_morpholino_benzene_ch2cl2,context:b3bc4137569ac128fe3fe0f8,joint model,3,site:dc079922a8654ae1aa88f5c4,bond,bond,"[9,16]","[[9,16]]","C9, C16",C9-C16,,C9-C16,"[""all_bonds""]",0.347983835751,9.44379107157,0.452691896421,0.026244412092,0.268193194241,0.342324722528,4.6,2,12,0,3,False
1,morpholine,challenge,"1,3,5-tris(morpholin-4-yl)benzene",Tris-morph.,tris_morpholino_benzene_ch2cl2,context:b3bc4137569ac128fe3fe0f8,joint model,4,site:7563fbe0df495db3e97710bd,bond,bond,"[8,9]","[[8,9]]","C8, C9",C8-C9,,C8-C9,"[""all_bonds""]",0.198133405163,9.31749483744,0.442239513788,0.026089204304,0.241145768615,0.331955050501,6.6,3,14,0,1,False
1,morpholine,challenge,"1,3,5-tris(morpholin-4-yl)benzene",Tris-morph.,tris_morpholino_benzene_ch2cl2,context:b3bc4137569ac128fe3fe0f8,joint model,5,site:ebf8af799a2c195d6af844d5,bond,bond,"[1,8]","[[1,8]]","C1, C8",C1-C8,,C1-C8,"[""all_bonds""]",0.162416719014,9.30159015656,0.438730781127,0.0260428042088,0.224483650826,0.341482384608,7.2,4,15,0,0,False
2,pyrrolidine,control,Pyrrolidine,Pyrrol.,pyrrolidine_dmso,context:e396636463310b2d50a7cea8,joint model,1,site:b4eb1a022a1025396786e52b,atom,atom,[3],[],N3,,,N3,"[""all_atoms""]",3.84801155353,18.1131338755,0.162137048774,0.0316296293695,0.596062454823,0.789045131131,1,1,1,5,5,True
2,pyrrolidine,control,Pyrrolidine,Pyrrol.,pyrrolidine_dmso,context:e396636463310b2d50a7cea8,joint model,2,site:e47acafc8f9f958f2d73597e,atom_group,atom group,"[0,1]","[[0,1]]","C0, C1",C0-C1,,C0-C1,"[""rdkit_symmetry"",""ring_same_element_subset"",""whole_graph_same_element_subset""]",0.0600939777366,9.78614753087,0.828338676711,0.0432716069963,0.991929491596,0.53879132547,2,2,2,0,5,False
2,pyrrolidine,control,Pyrrolidine,Pyrrol.,pyrrolidine_dmso,context:e396636463310b2d50a7cea8,joint model,3,site:e5544e332bcef0beb2151319,atom_group,atom group,"[0,1,2]","[[0,1],[1,2]]","C0, C1, C2",C0-C1; C1-C2,,C0-C1; C1-C2,"[""ring_same_element_subset"",""whole_graph_same_element_subset""]",-0.426946383032,10.1411536535,1.08984695405,0.050756462362,0.8820278282,0.439906716817,4,3,5,0,2,False
2,pyrrolidine,control,Pyrrolidine,Pyrrol.,pyrrolidine_dmso,context:e396636463310b2d50a7cea8,joint model,4,site:09cd6d1dbf062c1ad3f3bff3,atom_group,atom group,"[0,1,4]","[[0,1],[0,4]]","C0, C1, C4",C0-C1; C0-C4,,C0-C1; C0-C4,"[""ring_same_element_subset"",""whole_graph_same_element_subset""]",-0.426951024247,10.1411396662,1.08983887336,0.0507562040295,0.882020114937,0.439912448577,3.8,3,4,0,1,False
2,pyrrolidine,control,Pyrrolidine,Pyrrol.,pyrrolidine_dmso,context:e396636463310b2d50a7cea8,joint model,5,site:1ca17a8e393400b737cd80e9,atom_group,atom group,"[0,1,2,4]","[[0,1],[0,4],[1,2]]","C0, C1, C2, C4",C0-C1; C0-C4; C1-C2,,C0-C1; C0-C4; C1-C2,"[""ring_same_element"",""whole_graph_same_element""]",-0.462887125525,10.2059778849,1.1561936646,0.0520093269379,0.864944689266,0.436034188181,5.4,5,6,0,0,False
3,pyrrolidine,challenge,"1,3,5-tris(pyrrolidin-1-yl)benzene",Tris-pyrrol.,tris_pyrrolidino_benzene_ch2cl2,context:844e7fbf1202b50564e0f5da,joint model,1,site:85927b63d3c4244749a13ce1,atom,atom,[9],[],N9,,,N9,"[""all_atoms""]",0.32556319764,16.6718466441,0.67285427661,0.0273188850143,0.458015353311,0.155473814305,5.6,2,10,0,2,False
3,pyrrolidine,challenge,"1,3,5-tris(pyrrolidin-1-yl)benzene",Tris-pyrrol.,tris_pyrrolidino_benzene_ch2cl2,context:844e7fbf1202b50564e0f5da,joint model,2,site:5e4744416da4790ddc300115,atom,atom,[16],[],N16,,,N16,"[""all_atoms""]",0.325563149956,16.6718465169,0.672854060039,0.0273188850143,0.45801618291,0.155474369568,5.4,1,11,2,2,False
3,pyrrolidine,challenge,"1,3,5-tris(pyrrolidin-1-yl)benzene",Tris-pyrrol.,tris_pyrrolidino_benzene_ch2cl2,context:844e7fbf1202b50564e0f5da,joint model,3,site:e3d8b0d4890e00f5ba9ca912,atom,atom,[2],[],N2,,,N2,"[""all_atoms""]",0.320853683657,16.6679489136,0.672809985741,0.0273292666224,0.457860296444,0.155207691576,7,3,12,0,2,False
3,pyrrolidine,challenge,"1,3,5-tris(pyrrolidin-1-yl)benzene",Tris-pyrrol.,tris_pyrrolidino_benzene_ch2cl2,context:844e7fbf1202b50564e0f5da,joint model,4,site:371d97a483878cc75c26683e,transferable_h_group,transferable-H group,"[22,23,28,29,31,32,37,38,40,41,46,47]",[],"H22, H23, H28, H29, H31, H32, H37, H38, H40, H41, H46, H47",,"C3, C6, C10, C13, C17, C20","H22, H23, H28, H29, H31, H32, H37, H38, H40, H41, H46, H47 (on C3, C6, C10, C13, C17, C20)","[""symmetry_equivalent_h_parents""]",0.202479685722,5.72403678894,1.10534840262,0.0295277390377,0.531415386481,1.19723966655,6.2,1,12,1,2,False
3,pyrrolidine,challenge,"1,3,5-tris(pyrrolidin-1-yl)benzene",Tris-pyrrol.,tris_pyrrolidino_benzene_ch2cl2,context:844e7fbf1202b50564e0f5da,joint model,5,site:b3eb8c83bc1cbe5df572fe64,bond,bond,"[14,15]","[[14,15]]","C14, C15",C14-C15,,C14-C15,"[""all_bonds""]",-0.0439882725054,12.0901887894,0.592717046306,0.0260959474456,0.112470166394,0.448699762992,6,3,12,0,1,False
4,piperidine,control,Piperidine,Piper.,piperidine_meoh,context:f6bc8b9cd6e41b846aa40af5,joint model,1,site:3988bd5fb36413580faa9fba,atom,atom,[3],[],N3,,,N3,"[""all_atoms""]",3.92914361028,16.6966873169,0.396416056182,0.0283448183194,0.630308296201,0.375562998972,1,1,1,5,5,True
4,piperidine,control,Piperidine,Piper.,piperidine_meoh,context:f6bc8b9cd6e41b846aa40af5,joint model,2,site:fe00ae2c43ede7cb1ecf0342,atom_group,atom group,"[1,5]",[],"C1, C5",,,"C1, C5","[""rdkit_symmetry"",""ring_same_element_subset"",""same_element_neighbours"",""whole_graph_same_element_subset""]",-0.460429249814,7.32606588999,0.674080188757,0.041992210125,1.24517740886,0.488334132584,2.2,2,3,0,5,False
4,piperidine,control,Piperidine,Piper.,piperidine_meoh,context:f6bc8b9cd6e41b846aa40af5,joint model,3,site:5ccb92b1284dce3b833f4585,atom_group,atom group,"[0,1,5]","[[0,1],[0,5]]","C0, C1, C5",C0-C1; C0-C5,,C0-C1; C0-C5,"[""ring_same_element_subset"",""whole_graph_same_element_subset""]",-0.807632186622,7.20243463516,0.759097135999,0.0408104745182,1.20263800732,0.473796359573,3.4,3,5,0,4,False
4,piperidine,control,Piperidine,Piper.,piperidine_meoh,context:f6bc8b9cd6e41b846aa40af5,joint model,4,site:adfbbb3e566f2921eb08a451,atom_group,atom group,"[0,1]","[[0,1]]","C0, C1",C0-C1,,C0-C1,"[""ring_same_element_subset"",""whole_graph_same_element_subset""]",-0.911283932736,7.16306269964,0.796583902069,0.040752494265,1.19733189001,0.470335183922,5.8,4,12,0,0,False
4,piperidine,control,Piperidine,Piper.,piperidine_meoh,context:f6bc8b9cd6e41b846aa40af5,joint model,5,site:075c23ba096762a97c78348e,atom_group,atom group,"[0,5]","[[0,5]]","C0, C5",C0-C5,,C0-C5,"[""ring_same_element_subset"",""whole_graph_same_element_subset""]",-0.911286539446,7.16302083333,0.796584954291,0.0407525077155,1.19732474653,0.47033719284,6,4,11,0,0,False
5,piperidine,challenge,"1,3,5-tris(piperidin-1-yl)benzene",Tris-piper.,tris_piperidino_benzene_ch2cl2,context:845087fc516741ebcf40905a,joint model,1,site:b424a39b2a1729d4b6ec17a9,atom,atom,[2],[],N2,,,N2,"[""all_atoms""]",0.589975760532,16.3513739268,0.573201128437,0.0272804216679,0.413601231041,0.0556186672493,1.8,1,3,3,5,False
