figure,panel,group_family,parent_class_level_1,group_label,display_label,group_order,ordering_rule,context_count,connectivity_count,prediction_mode,prediction_mode_order,metric,metric_order,estimate,ci95_low,ci95_high,source_value_unit,figure_display_unit,within_2_definition,descriptive_only,interval_status,bootstrap_replicates,bootstrap_seed,bootstrap_unit,minimum_interval_contexts,minimum_interval_connectivities
figure_s3,a,Mayr level 2,C-Nucleophiles,Carbanions,Carbanions,0,"descending context count, then connectivity count and label; not performance-sorted",136,113,automatic-site,0,within ±2 ratio,0,0.830882352941,0.764705882353,0.891304347826,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3096286433,connectivity,20,15
figure_s3,a,Mayr level 2,C-Nucleophiles,Carbanions,Carbanions,0,"descending context count, then connectivity count and label; not performance-sorted",136,113,automatic-site,0,MAE,1,1.12099825383,0.955623259733,1.30468607201,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3096286433,connectivity,20,15
figure_s3,b,Mayr level 2,C-Nucleophiles,Carbanions,Carbanions,0,"descending context count, then connectivity count and label; not performance-sorted",136,113,known-site,1,within ±2 ratio,0,0.838235294118,0.77304964539,0.896296296296,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3096286433,connectivity,20,15
figure_s3,b,Mayr level 2,C-Nucleophiles,Carbanions,Carbanions,0,"descending context count, then connectivity count and label; not performance-sorted",136,113,known-site,1,MAE,1,1.08851062037,0.932122814703,1.26176085792,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3096286433,connectivity,20,15
figure_s3,a,Mayr level 2,C-Nucleophiles,"Enamines, Enamides, and Ynamides",Enamines/enamides/ynamides,1,"descending context count, then connectivity count and label; not performance-sorted",67,58,automatic-site,0,within ±2 ratio,0,0.910447761194,0.833333333333,0.970598891731,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,2352302537,connectivity,20,15
figure_s3,a,Mayr level 2,C-Nucleophiles,"Enamines, Enamides, and Ynamides",Enamines/enamides/ynamides,1,"descending context count, then connectivity count and label; not performance-sorted",67,58,automatic-site,0,MAE,1,0.928733763244,0.751880199813,1.12682466204,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,2352302537,connectivity,20,15
figure_s3,b,Mayr level 2,C-Nucleophiles,"Enamines, Enamides, and Ynamides",Enamines/enamides/ynamides,1,"descending context count, then connectivity count and label; not performance-sorted",67,58,known-site,1,within ±2 ratio,0,0.925373134328,0.855072463768,0.984848484848,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,2352302537,connectivity,20,15
figure_s3,b,Mayr level 2,C-Nucleophiles,"Enamines, Enamides, and Ynamides",Enamines/enamides/ynamides,1,"descending context count, then connectivity count and label; not performance-sorted",67,58,known-site,1,MAE,1,0.887094784353,0.733680936992,1.05678325395,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,2352302537,connectivity,20,15
figure_s3,a,Mayr level 2,C-Nucleophiles,Enol Ethers,Enol ethers,2,"descending context count, then connectivity count and label; not performance-sorted",59,53,automatic-site,0,within ±2 ratio,0,0.949152542373,0.887096774194,1,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,2627157856,connectivity,20,15
figure_s3,a,Mayr level 2,C-Nucleophiles,Enol Ethers,Enol ethers,2,"descending context count, then connectivity count and label; not performance-sorted",59,53,automatic-site,0,MAE,1,0.900087190403,0.706229268354,1.11335684013,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,2627157856,connectivity,20,15
figure_s3,b,Mayr level 2,C-Nucleophiles,Enol Ethers,Enol ethers,2,"descending context count, then connectivity count and label; not performance-sorted",59,53,known-site,1,within ±2 ratio,0,0.949152542373,0.887096774194,1,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,2627157856,connectivity,20,15
figure_s3,b,Mayr level 2,C-Nucleophiles,Enol Ethers,Enol ethers,2,"descending context count, then connectivity count and label; not performance-sorted",59,53,known-site,1,MAE,1,0.853308945242,0.694295993734,1.01323640281,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,2627157856,connectivity,20,15
figure_s3,a,Mayr level 2,C-Nucleophiles,Arenes,Arenes,3,"descending context count, then connectivity count and label; not performance-sorted",34,34,automatic-site,0,within ±2 ratio,0,0.941176470588,0.852941176471,1,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,77577638,connectivity,20,15
figure_s3,a,Mayr level 2,C-Nucleophiles,Arenes,Arenes,3,"descending context count, then connectivity count and label; not performance-sorted",34,34,automatic-site,0,MAE,1,0.938755644629,0.644452782148,1.27411574467,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,77577638,connectivity,20,15
figure_s3,b,Mayr level 2,C-Nucleophiles,Arenes,Arenes,3,"descending context count, then connectivity count and label; not performance-sorted",34,34,known-site,1,within ±2 ratio,0,0.911764705882,0.823529411765,1,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,77577638,connectivity,20,15
figure_s3,b,Mayr level 2,C-Nucleophiles,Arenes,Arenes,3,"descending context count, then connectivity count and label; not performance-sorted",34,34,known-site,1,MAE,1,1.0401476832,0.689404673922,1.44616235923,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,77577638,connectivity,20,15
figure_s3,a,Mayr level 2,C-Nucleophiles,"Alkyl, Alkenyl and Aryl Boron Compounds",Alkyl/alkenyl/aryl boron,4,"descending context count, then connectivity count and label; not performance-sorted",30,30,automatic-site,0,within ±2 ratio,0,0.7,0.533333333333,0.866666666667,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,61262425,connectivity,20,15
figure_s3,a,Mayr level 2,C-Nucleophiles,"Alkyl, Alkenyl and Aryl Boron Compounds",Alkyl/alkenyl/aryl boron,4,"descending context count, then connectivity count and label; not performance-sorted",30,30,automatic-site,0,MAE,1,1.39570234934,1.00536452557,1.81722783975,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,61262425,connectivity,20,15
figure_s3,b,Mayr level 2,C-Nucleophiles,"Alkyl, Alkenyl and Aryl Boron Compounds",Alkyl/alkenyl/aryl boron,4,"descending context count, then connectivity count and label; not performance-sorted",30,30,known-site,1,within ±2 ratio,0,0.7,0.533333333333,0.866666666667,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,61262425,connectivity,20,15
figure_s3,b,Mayr level 2,C-Nucleophiles,"Alkyl, Alkenyl and Aryl Boron Compounds",Alkyl/alkenyl/aryl boron,4,"descending context count, then connectivity count and label; not performance-sorted",30,30,known-site,1,MAE,1,1.47297696453,1.08255417171,1.88534745462,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,61262425,connectivity,20,15
