display_order,display_name,candidate_rank,site_type_display,member_atom_labels,member_bond_labels,hydrogen_parent_labels,member_display,canonical_logit,conditional_n_prediction,outer_fold_top1_count,outer_fold_top3_count,is_strict_target
0,Morpholine,1,atom,N5,,,N5,3.27828069525,14.8631862005,5,5,True
0,Morpholine,2,atom group,"C1, C3",,,"C1, C3",-0.064840528904,6.8783563296,0,5,False
0,Morpholine,3,atom group,"C0, C4",,,"C0, C4",-0.395105256179,6.79950167338,0,3,False
0,Morpholine,4,atom group,"C0, C1, C3, C4",C0-C1; C3-C4,,C0-C1; C3-C4,-0.43070668135,6.91286023458,0,1,False
0,Morpholine,5,atom group,"C3, C4",C3-C4,,C3-C4,-0.473712751804,6.89182252884,0,0,False
1,"1,3,5-tris(morpholin-4-yl)benzene",1,atom,N2,,,N2,0.40255079817,14.546015803,1,3,False
1,"1,3,5-tris(morpholin-4-yl)benzene",2,bond,"C16, C17",C16-C17,,C16-C17,0.353191813443,9.45517648061,3,3,False
1,"1,3,5-tris(morpholin-4-yl)benzene",3,bond,"C9, C16",C9-C16,,C9-C16,0.347983835751,9.44379107157,0,3,False
1,"1,3,5-tris(morpholin-4-yl)benzene",4,bond,"C8, C9",C8-C9,,C8-C9,0.198133405163,9.31749483744,0,1,False
1,"1,3,5-tris(morpholin-4-yl)benzene",5,bond,"C1, C8",C1-C8,,C1-C8,0.162416719014,9.30159015656,0,0,False
2,Pyrrolidine,1,atom,N3,,,N3,3.84801155353,18.1131338755,5,5,True
2,Pyrrolidine,2,atom group,"C0, C1",C0-C1,,C0-C1,0.0600939777366,9.78614753087,0,5,False
2,Pyrrolidine,3,atom group,"C0, C1, C2",C0-C1; C1-C2,,C0-C1; C1-C2,-0.426946383032,10.1411536535,0,2,False
2,Pyrrolidine,4,atom group,"C0, C1, C4",C0-C1; C0-C4,,C0-C1; C0-C4,-0.426951024247,10.1411396662,0,1,False
2,Pyrrolidine,5,atom group,"C0, C1, C2, C4",C0-C1; C0-C4; C1-C2,,C0-C1; C0-C4; C1-C2,-0.462887125525,10.2059778849,0,0,False
3,"1,3,5-tris(pyrrolidin-1-yl)benzene",1,atom,N9,,,N9,0.32556319764,16.6718466441,0,2,False
3,"1,3,5-tris(pyrrolidin-1-yl)benzene",2,atom,N16,,,N16,0.325563149956,16.6718465169,2,2,False
3,"1,3,5-tris(pyrrolidin-1-yl)benzene",3,atom,N2,,,N2,0.320853683657,16.6679489136,0,2,False
3,"1,3,5-tris(pyrrolidin-1-yl)benzene",4,transferable-H group,"H22, H23, H28, H29, H31, H32, H37, H38, H40, H41, H46, H47",,"C3, C6, C10, C13, C17, C20","H22, H23, H28, H29, H31, H32, H37, H38, H40, H41, H46, H47 (on C3, C6, C10, C13, C17, C20)",0.202479685722,5.72403678894,1,2,False
3,"1,3,5-tris(pyrrolidin-1-yl)benzene",5,bond,"C14, C15",C14-C15,,C14-C15,-0.0439882725054,12.0901887894,0,1,False
4,Piperidine,1,atom,N3,,,N3,3.92914361028,16.6966873169,5,5,True
4,Piperidine,2,atom group,"C1, C5",,,"C1, C5",-0.460429249814,7.32606588999,0,5,False
4,Piperidine,3,atom group,"C0, C1, C5",C0-C1; C0-C5,,C0-C1; C0-C5,-0.807632186622,7.20243463516,0,4,False
4,Piperidine,4,atom group,"C0, C1",C0-C1,,C0-C1,-0.911283932736,7.16306269964,0,0,False
4,Piperidine,5,atom group,"C0, C5",C0-C5,,C0-C5,-0.911286539446,7.16302083333,0,0,False
5,"1,3,5-tris(piperidin-1-yl)benzene",1,atom,N2,,,N2,0.589975760532,16.3513739268,3,5,False
5,"1,3,5-tris(piperidin-1-yl)benzene",2,atom,N10,,,N10,0.306248710704,16.1794615428,0,2,False
5,"1,3,5-tris(piperidin-1-yl)benzene",3,atom,N18,,,N18,0.306135557247,16.1794073105,0,1,False
5,"1,3,5-tris(piperidin-1-yl)benzene",4,bond,"C9, C16",C9-C16,,C9-C16,0.149955145232,10.2576128642,1,2,False
5,"1,3,5-tris(piperidin-1-yl)benzene",5,bond,"C16, C17",C16-C17,,C16-C17,0.149949426663,10.2576072057,0,1,False
