comparator_model_name,comparator_display_name,feature_tier,feature_tier_short,metric_family,metric,endpoint_display,joint_estimate,comparator_estimate,delta_joint_minus_comparator,delta_ci95_low,delta_ci95_high,bootstrap_replicates,bootstrap_unit
random_uniform,Uniform random ranking,analytic reference,Analytic,site ranking,top-1 accuracy,Top-1,0.930799220273,0.0212246457844,0.909574574488,0.889756618697,0.927715363943,10000,connectivity
random_uniform,Uniform random ranking,analytic reference,Analytic,site ranking,top-3 accuracy,Top-3,0.980506822612,0.0500287131817,0.93047810943,0.917072244597,0.942690656649,10000,connectivity
random_uniform,Uniform random ranking,analytic reference,Analytic,site ranking,mean reciprocal rank,MRR,0.95687120425,0.0695804302742,0.887290773976,0.872671984224,0.900898498677,10000,connectivity
site_type_prior_mean,Site-type prior + development mean,standard public inputs,Public,site ranking,top-1 accuracy,Top-1,0.930799220273,0.0604288499025,0.87037037037,0.844891947882,0.89453125,10000,connectivity
site_type_prior_mean,Site-type prior + development mean,standard public inputs,Public,site ranking,top-3 accuracy,Top-3,0.980506822612,0.12865497076,0.851851851852,0.82427184466,0.879565908127,10000,connectivity
site_type_prior_mean,Site-type prior + development mean,standard public inputs,Public,site ranking,mean reciprocal rank,MRR,0.95687120425,0.14761787484,0.809253329411,0.787659037569,0.830066376797,10000,connectivity
site_type_prior_mean,Site-type prior + development mean,standard public inputs,Public,automatic-site N,MAE,Automatic-site $N$ MAE,1.21999993166,5.92324093448,-4.70324100282,-4.996161103,-4.41358577644,10000,connectivity
site_type_prior_mean,Site-type prior + development mean,standard public inputs,Public,known-site N,MAE,Known-site $N$ MAE,1.15061174781,5.92324093448,-4.77262918668,-5.0635865299,-4.48764239474,10000,connectivity
morgan_1nn,Morgan/Tanimoto 1NN,standard public inputs,Public,site ranking,top-1 accuracy,Top-1,0.930799220273,0.492202729045,0.438596491228,0.400770712909,0.475831387736,10000,connectivity
morgan_1nn,Morgan/Tanimoto 1NN,standard public inputs,Public,site ranking,top-3 accuracy,Top-3,0.980506822612,0.683235867446,0.297270955166,0.264422837972,0.330125120308,10000,connectivity
morgan_1nn,Morgan/Tanimoto 1NN,standard public inputs,Public,site ranking,mean reciprocal rank,MRR,0.95687120425,0.610863876149,0.346007328101,0.31727631647,0.375029009468,10000,connectivity
morgan_1nn,Morgan/Tanimoto 1NN,standard public inputs,Public,automatic-site N,MAE,Automatic-site $N$ MAE,1.21999993166,5.36321962313,-4.14321969147,-4.54339923556,-3.76125264692,10000,connectivity
morgan_1nn,Morgan/Tanimoto 1NN,standard public inputs,Public,known-site N,MAE,Known-site $N$ MAE,1.15061174781,2.70288823912,-1.55227649131,-1.76920272073,-1.34911150594,10000,connectivity
linear,Logistic regression + ridge,standard public inputs,Public,site ranking,top-1 accuracy,Top-1,0.930799220273,0.570175438596,0.360623781676,0.323466407011,0.398230088496,10000,connectivity
linear,Logistic regression + ridge,standard public inputs,Public,site ranking,top-3 accuracy,Top-3,0.980506822612,0.849902534113,0.130604288499,0.107142857143,0.155174939386,10000,connectivity
linear,Logistic regression + ridge,standard public inputs,Public,site ranking,mean reciprocal rank,MRR,0.95687120425,0.718210436648,0.238660767602,0.214507209644,0.263268747944,10000,connectivity
linear,Logistic regression + ridge,standard public inputs,Public,automatic-site N,MAE,Automatic-site $N$ MAE,1.21999993166,3.42418255988,-2.20418262822,-2.45195933592,-1.97116709745,10000,connectivity
linear,Logistic regression + ridge,standard public inputs,Public,known-site N,MAE,Known-site $N$ MAE,1.15061174781,1.92606222798,-0.775450480178,-0.887408626152,-0.664130975742,10000,connectivity
random_forest_standard,Random forest,standard public inputs,Public,site ranking,top-1 accuracy,Top-1,0.930799220273,0.873294346979,0.0575048732943,0.0351557862951,0.0802357326439,10000,connectivity
random_forest_standard,Random forest,standard public inputs,Public,site ranking,top-3 accuracy,Top-3,0.980506822612,0.943469785575,0.037037037037,0.0219777595852,0.0525803310613,10000,connectivity
random_forest_standard,Random forest,standard public inputs,Public,site ranking,mean reciprocal rank,MRR,0.95687120425,0.912705463967,0.0441657402833,0.0291183586942,0.0594791837845,10000,connectivity
random_forest_standard,Random forest,standard public inputs,Public,automatic-site N,MAE,Automatic-site $N$ MAE,1.21999993166,2.12500145362,-0.905001521957,-1.04231667238,-0.774359191332,10000,connectivity
random_forest_standard,Random forest,standard public inputs,Public,known-site N,MAE,Known-site $N$ MAE,1.15061174781,2.02065289974,-0.870041151936,-0.988891967725,-0.754470429652,10000,connectivity
hist_gradient_boosting_standard,Histogram gradient boosting,standard public inputs,Public,site ranking,top-1 accuracy,Top-1,0.930799220273,0.836257309942,0.0945419103314,0.0696999031946,0.120589093614,10000,connectivity
hist_gradient_boosting_standard,Histogram gradient boosting,standard public inputs,Public,site ranking,top-3 accuracy,Top-3,0.980506822612,0.938596491228,0.041910331384,0.0259471939039,0.0583092469438,10000,connectivity
hist_gradient_boosting_standard,Histogram gradient boosting,standard public inputs,Public,site ranking,mean reciprocal rank,MRR,0.95687120425,0.891950946608,0.0649202576429,0.0486722696509,0.0817239149492,10000,connectivity
hist_gradient_boosting_standard,Histogram gradient boosting,standard public inputs,Public,automatic-site N,MAE,Automatic-site $N$ MAE,1.21999993166,1.9324604952,-0.712460563534,-0.839086563976,-0.587803120026,10000,connectivity
hist_gradient_boosting_standard,Histogram gradient boosting,standard public inputs,Public,known-site N,MAE,Known-site $N$ MAE,1.15061174781,1.76898981523,-0.618378067424,-0.720837294716,-0.516869123708,10000,connectivity
random_forest_matched_inputs,Random forest + matched nonlearned inputs,feature-matched nonlearned inputs,Matched,site ranking,top-1 accuracy,Top-1,0.930799220273,0.905458089669,0.0253411306043,0.00580256776834,0.0454545454545,10000,connectivity
random_forest_matched_inputs,Random forest + matched nonlearned inputs,feature-matched nonlearned inputs,Matched,site ranking,top-3 accuracy,Top-3,0.980506822612,0.964912280702,0.0155945419103,0.00479834947544,0.0272911139638,10000,connectivity
random_forest_matched_inputs,Random forest + matched nonlearned inputs,feature-matched nonlearned inputs,Matched,site ranking,mean reciprocal rank,MRR,0.95687120425,0.937279273683,0.0195919305676,0.00736176809275,0.032167829507,10000,connectivity
random_forest_matched_inputs,Random forest + matched nonlearned inputs,feature-matched nonlearned inputs,Matched,automatic-site N,MAE,Automatic-site $N$ MAE,1.21999993166,1.90961361782,-0.689613686162,-0.810904007842,-0.572349548721,10000,connectivity
random_forest_matched_inputs,Random forest + matched nonlearned inputs,feature-matched nonlearned inputs,Matched,known-site N,MAE,Known-site $N$ MAE,1.15061174781,1.79298864891,-0.642376901107,-0.738406787344,-0.54685432853,10000,connectivity
hist_gradient_boosting_matched_inputs,Histogram gradient boosting + matched nonlearned inputs,feature-matched nonlearned inputs,Matched,site ranking,top-1 accuracy,Top-1,0.930799220273,0.87134502924,0.0594541910331,0.0386785674215,0.0812934427364,10000,connectivity
hist_gradient_boosting_matched_inputs,Histogram gradient boosting + matched nonlearned inputs,feature-matched nonlearned inputs,Matched,site ranking,top-3 accuracy,Top-3,0.980506822612,0.959064327485,0.0214424951267,0.00894632206759,0.0344166412369,10000,connectivity
hist_gradient_boosting_matched_inputs,Histogram gradient boosting + matched nonlearned inputs,feature-matched nonlearned inputs,Matched,site ranking,mean reciprocal rank,MRR,0.95687120425,0.916867384963,0.0400038192879,0.0269582575045,0.0539015451045,10000,connectivity
hist_gradient_boosting_matched_inputs,Histogram gradient boosting + matched nonlearned inputs,feature-matched nonlearned inputs,Matched,automatic-site N,MAE,Automatic-site $N$ MAE,1.21999993166,1.87338250804,-0.653382576375,-0.790355849841,-0.523199988091,10000,connectivity
